text,labels
가려서 좋아하다,Sadness
가려운,Sadness
가려운 느낌이,Sadness
가려운 증상을,Sadness
가련하게,Sadness
가련하게 여기다,Sadness
가련하게 여김,Sadness
가련한,Sadness
가련한 듯하다,Sadness
가렵고,Sadness
가로막아서,Sadness
가로채서,Sadness
가로채어,Sadness
가르치며,Happiness
가르침,Happiness
가르침을 받아,Neutral
가리지 못하다,Sadness
가리지 않고,Neutral
가마득하다,Sadness
가만있지 못하고,Sadness
가망 없는,Sadness
가망이 없게,Anger
가벼운 마음으로,Happiness
가벼운 말이나,Sadness
가벼운 상처,Sadness
가벼운 슬픔,Sadness
가벼운 행동으로,Sadness
가볍게,Sadness
가볍게 까부는,Sadness
가볍게 까불다,Sadness
가볍게 쑤시듯,Sadness
가볍게 웃다,Happiness
가볍게 채신없이,Sadness
가볍게 행동하거나,Sadness
가볍게 행동하는,Sadness
가볍게 행동하다,Sadness
가볍고,Happiness
가볍고 보드랍게,Happiness
가볍고 상쾌하다,Love
가볍고 상쾌한,Love
가볍고 시원하게,Love
가볍고 편안하게,Love
가볍고 환하게,Love
가분가분,Happiness
가분히,Happiness
가뿐가뿐,Happiness
가뿐가뿐하다,Happiness
가뿐가뿐히,Happiness
가뿐하게,Happiness
가뿐하다,Happiness
가뿐한,Happiness
가뿐한 느낌,Happiness
가뿐한 느낌이,Happiness
가뿐히,Happiness
가쁘게,Sadness
가쁘게 쉬다,Sadness
가쁘고,Sadness
가쁘고 거칠게,Sadness
가쁘고 급하게,Sadness
가쁜,Sadness
가쁜 증상,Sadness
가살스럽다,Sadness
가소롭게,Sadness
가소롭다,Sadness
가스 중독이나,Sadness
가슴 아파하다,Anger
가슴 아파함,Anger
가슴 아프게,Anger
가슴 아프고,Anger
가슴 아프다,Anger
가슴속에 근심이나,Anger
가슴앓이,Anger
가슴앓이하다,Anger
가슴이 갑갑할,Anger
가슴이 괴롭거나,Anger
가슴이 그득한,Anger
가슴이 답답하고,Anger
가슴이 답답하다,Anger
가슴이 답답하며,Anger
가슴이 답답하여,Sadness
가슴이 답답한,Sadness
가슴이 답답해진다,Sadness
가슴이 아프다,Anger
가슴이 아픈,Anger
가슴이 울렁거리는,Anger
가슴이 울렁거리다,Anger
가슴이 찢어질,Anger
가습이 답답하고,Sadness
가엽다,Sadness
가엾게,Sadness
가엾게 여겨,Sadness
가엾게 여기다,Sadness
가엾고,Sadness
가엾고 불쌍하다,Anger
가엾고 불쌍하여,Anger
가엾고 불쌍한,Anger
가엾고 불쌍함,Anger
가엾고 애처롭다,Anger
가엾다,Sadness
가운데에서 뛰어남,Love
가위눌리다,Sadness
가음 아프고,Anger
가장 거룩한,Love
가장 뛰어나,Love
가장 뛰어난,Love
가장 올바르게,Love
가장 좋은,Love
가장 중요한,Happiness
가증맞다,Sadness
가증스럽다,Sadness
가지런하게 하는,Happiness
가지런하게 하다,Happiness
가지런하다,Happiness
가지런하지 아니하다,Sadness
가지런하지 아니한,Sadness
가짜,Anger
가책이 되어,Sadness
가치,Happiness
가치 없는,Anger
가치 있는,Love
가치 있다,Love
가치가,Happiness
가치가 없다,Anger
가치가 없을,Anger
가치가 없이,Anger
가치가 있다,Love
가치를 믿다,Love
가치를 인정하다,Love
가치보다 비싼,Sadness
가치없는,Anger
가치있는,Happiness
가치작거리는,Sadness
가치작거리는 모양,Sadness
가치작거리는 소리,Sadness
가탈스럽다,Sadness
가혹하게,Anger
가혹하게 착취하여,Anger
각근하지 못하여,Sadness
각별나다,Happiness
각별하다,Happiness
간 장애,Anger
간 질환의,Sadness
간드러진,Love
간드러진 느낌이,Love
간사스럽게,Sadness
간사스럽게 행동하는,Sadness
간사스럽게 행동하다,Sadness
간사하고,Sadness
간사하다,Sadness
간사한,Sadness
간사한 사람이나,Sadness
간사한 짓을,Anger
간섭받고,Sadness
간섭하거나,Sadness
간섭하거나 방해하여,Sadness
간섭하고,Sadness
간섭하다,Sadness
간섭하여,Sadness
간신히 짜내는,Sadness
간절하다,Love
간지러워서,Sadness
간지럽게,Sadness
간지럽고,Sadness
간지럽고 자릿한,Sadness
간직하다,Happiness
간직하지 아니하고,Sadness
간질,Sadness
간질간질하다,Sadness
간질간질한,Sadness
간질간질한 느낌,Sadness
간편하거나,Love
간편하다,Love
갈강병균이,Sadness
갈등,Sadness
갈라서다,Sadness
갈라지는 피부병,Sadness
갈색굳음병,Sadness
갈증이 나고,Sadness
갈증이 심하게,Sadness
갈팡질팡,Sadness
갈팡질팡하다,Sadness
갈팡질팡하며,Sadness
갈피를 잡을 수 없다,Sadness
갈피를 잡지 못하고,Sadness
갈피를 잡지 못하고 이리저리 헤매는 모양,Sadness
갈피를 잡지 못하는,Sadness
갈피를 잡지 못하다,Sadness
감각이 둔하고,Sadness
감각이 마비되고,Sadness
감각적이다,Happiness
감감히,Sadness
감개무량하다,Love
감격,Love
감격성,Love
감격스럽다,Love
감격스레,Love
감격이,Love
감격적,Love
감격하다,Love
감격하여,Love
감금하여,Anger
감기,Sadness
감기가,Sadness
감기가 들어,Sadness
감기나,Sadness
감기나 천식,Sadness
감기로,Sadness
감기로 인하여,Sadness
감당하다,Happiness
감동,Love
감동시킬,Happiness
감동시킬 만한,Happiness
감동을 받아,Love
감동을 일으킬,Love
감동을 주거나,Love
감동이,Love
감동이 되는,Love
감동이나,Love
감동이나 고마움을,Love
감동하는,Love
감동하다,Love
감동하여,Love
감동함,Love
감명되다,Love
감명적,Love
감명하다,Love
감모,Happiness
감미롭다,Love
감병,Sadness
감복하다,Love
감복하여,Love
감사,Love
감사를 표하다,Love
감사하는,Love
감사하는 마음으로,Love
감사하다,Love
감싸고,Happiness
감싸고 달래다,Neutral
감옥,Sadness
감옥에,Sadness
감정 사납게,Sadness
감정을 건드려,Sadness
감정의 불화,Anger
감정이 거칠어져,Sadness
감정이 북받쳐,Happiness
감칠맛이 있을,Love
감탄,Love
감탄스러울,Love
감탄스러울 때,Love
감탄스럽다,Love
감탄적으로,Love
감탄하다,Love
감탄할,Love
감탄할 때,Love
감회가 새롭거나,Love
감회에 젖음,Love
갑갑궁금하다,Sadness
갑갑하고 궁금하다,Sadness
갑갑하다,Sadness
갑갑한,Sadness
갑갑한 증상,Sadness
갑갑할,Sadness
갑갑할 정도로,Sadness
갑분띠,Sadness
갑분싸,Sadness
갑자기 게우는,Sadness
갑자기 놀라거나,Sadness
갑자기 놀라서,Sadness
갑자기 무섭거나,Sadness
갑자기 분별없이,Sadness
갑자기 서늘한,Sadness
갑자기 서늘한서늘한 느낌이,Sadness
갑자기 성을,Sadness
갑자기 소란스럽게,Sadness
갑자기 소름이,Sadness
갑자기 어지러워,Sadness
갑작스러워 두렵거나,Sadness
갑작스럽게 화를,Sadness
값을 매길 수 없을 만큼,Love
값진,Love
강간죄,Anger
강개무량,Anger
강개무량하다,Anger
강구하다,Neutral
강도가,Sadness
강등하여,Sadness
강렬하게,Happiness
강박,Sadness
강박하여,Sadness
강세,Happiness
강인하다,Happiness
강인한,Love
강제로,Sadness
강제로 누르는,Sadness
강제로 누르다,Anger
강제로 누름,Anger
강제로 빼앗는,Sadness
강제로 빼앗다,Sadness
강제로 빼앗아,Anger
강제로 빼앗음,Sadness
강제로 요구하다,Sadness
강제적으로,Anger
강추,Love
강탈,Anger
강탈하다,Anger
강퇴,Sadness
강하게,Happiness
강하게 만들다,Love
강하게 하다,Happiness
강하고,Happiness
강하고 야무지게,Love
강하고 야무지다,Love
강하고 튼튼하게,Love
강하다,Happiness
강한 비판이나,Anger
강한 충격을,Sadness
강화하다,Happiness
갖지 아니하게,Sadness
갖추다,Happiness
갖추지 못한,Sadness
같잖다,Sadness
같잖아서,Sadness
같잖아서 우스운,Sadness
같잖은,Sadness
같잖은 꼴로,Sadness
갚지 않다,Sadness
개가 무섭거나,Sadness
개가 아프거나,Sadness
개선,Love
개선 방도를,Love
개선하고,Happiness
개선하다,Love
개선함,Love
개성,Happiness
개성있는,Happiness
개성있다,Happiness
개운치 않거나,Sadness
개운하게,Love
개운하고,Love
개운하고 시원한,Love
개운하고 홀가분해지다,Love
개운하다,Love
개운하지 않고,Sadness
개으름을,Sadness
개이득,Love
개짓하다,Anger
개회하다,Neutral
갠소,Happiness
갸륵한,Happiness
갸륵한 데가,Happiness
갸름하다,Happiness
거꾸러뜨리다,Sadness
거꾸로 넘어지거나,Sadness
거두지 못한,Sadness
거드럭거드럭,Sadness
거드럭거리다,Sadness
거들먹거들먹,Sadness
거들먹거들먹하다,Sadness
거들먹거리다,Sadness
거들먹대다,Sadness
거들먹이다,Sadness
거듭 따뜻이,Love
거듭 죄를,Sadness
거뜬하다,Love
거래가 금지된,Sadness
거룩한,Love
거룩한 모습,Love
거룩한 사람,Love
거리끼어,Sadness
거리낌 없이,Happiness
거만스럽게,Anger
거만을,Anger
거만을 떠는,Anger
거만을 떨다,Anger
거만하게,Anger
거만하게 행동하는,Anger
거만하게 행동하다,Anger
거만하고,Anger
거만하다,Anger
거만한,Sadness
거만한 태도로,Anger
거무스름한 피고름이,Sadness
거볍게 까부는,Sadness
거볍게 성을,Sadness
거볍게 채신없이,Sadness
거볍게 행동하거나,Sadness
거볍게 행동하는,Sadness
거볍게 행동하다,Sadness
거볍고 온화하게,Love
거부감,Anger
거부감 없이,Love
거부하거나,Anger
거부하다,Sadness
거북스럽게,Anger
거북스럽게 저는,Anger
거북스럽게 절다,Anger
거북하거나,Anger
거북하거나 괴로움,Anger
거북하거나 괴롭다,Anger
거북하거나 더럽고,Anger
거북하게,Anger
거북하고,Anger
거북하고 불편한,Anger
거북하고 주체스럽게,Anger
거북하다,Anger
거북한,Anger
거북한 모양,Anger
거북한 상태로,Anger
거북한 소리가,Anger
거북할,Anger
거북할 만큼,Anger
거세고,Sadness
거세고 급하다,Sadness
거슬려,Sadness
거슬려 불쾌하다,Anger
거슬리거나,Sadness
거슬리거나 마음이,Sadness
거슬리게,Sadness
거슬리게 싫다,Sadness
거슬리는,Sadness
거슬리는 느낌이,Sadness
거슬리다,Sadness
거슬림이 없이,Love
거역하다,Sadness
거역함,Sadness
거의 없다,Sadness
거절하거나,Anger
거절하거나 싫다는,Anger
거절하다,Anger
거짓,Anger
거짓 없다,Happiness
거짓말,Anger
거짓말을,Sadness
거짓없다,Happiness
거짓으로,Sadness
거짓으로 감정이나,Sadness
거짓으로 꾸며서,Sadness
거짓으로 꾸미는,Sadness
거짓으로 꾸미다,Sadness
거짓으로 꾸민,Sadness
거짓으로 속이다,Sadness
거짓으로 속임,Sadness
거짓을 버리고,Love
거짓이 없고,Love
거짓이 없다,Love
거짓이 없이,Love
거짓이나,Sadness
거추장스러워서,Sadness
거추장스러워서 거슬리거나,Sadness
거추장스럽거나,Sadness
거추장스럽거나 성가시어,Sadness
거추장스럽게,Sadness
거추장스럽게 걸리거나,Sadness
거추장스럽다,Sadness
거추장스레,Sadness
거치적거리는,Sadness
거치적거리는 소리,Sadness
거치적거치적,Sadness
거치적거치적하다,Sadness
거친,Anger
거친 데가,Anger
거친 말로,Anger
거친 모양,Anger
거친 목소리로,Anger
거친 성질이나,Anger
거친 소리가,Anger
거칠거나 사납게,Anger
거칠게,Anger
거칠게 나는,Anger
거칠게 된,Sadness
거칠게 말다툼하다,Anger
거칠게 말함,Anger
거칠게 몰아쉬는,Anger
거칠게 몰아쉬다,Anger
거칠게 소리가,Anger
거칠게 쉬는,Anger
거칠게 울려,Anger
거칠게 일다,Anger
거칠게 잇따라,Anger
거칠게 행동하는,Sadness
거칠게 행동하다,Anger
거칠고,Anger
거칠고 가쁘게,Anger
거칠고 격한,Anger
거칠고 깔끄럽게,Anger
거칠고 껄끄럽게,Anger
거칠고 나쁘다,Anger
거칠고 무뚝뚝하다,Anger
거칠고 사나우며,Anger
거칠고 세차다,Anger
거칠고 심하다,Anger
거칠고 험하게,Anger
거칠고 험한,Anger
거칠다,Anger
거칠면서,Anger
거칠면서 가쁘고,Anger
거칠어져,Anger
거침새가 없고,Love
거침없이,Happiness
거침이 없는,Happiness
걱정,Anger
걱정 같은,Sadness
걱정 따위로,Sadness
걱정 없이,Love
걱정거리,Sadness
걱정과,Sadness
걱정과 근심,Sadness
걱정되거나,Sadness
걱정스러워서,Sadness
걱정스럽거나,Sadness
걱정스럽거나 조바심이,Sadness
걱정스럽다,Sadness
걱정으로,Sadness
걱정을,Sadness
걱정이,Sadness
걱정이 되거나,Sadness
걱정이 되는,Sadness
걱정이 되어,Sadness
걱정이 없고,Love
걱정이 없는,Happiness
걱정이나,Sadness
걱정이나 근심,Sadness
걱정이나 근심에,Sadness
걱정이나 언짢은,Anger
걱정인 해를,Sadness
걱정하기는,Sadness
걱정하기는 하나,Sadness
걱정하는,Sadness
걱정하는 게,Sadness
걱정하다,Sadness
건강에 긍정적인,Happiness
건강에 좋은,Love
건강에 해로운,Anger
건강하고,Love
건강하고 온전하다,Love
건강하고 온전한,Love
건강하다,Love
건강하여,Love
건강하여 아름다운,Love
건강하지 못하다,Sadness
건강한,Love
건달처럼,Sadness
건둥건둥,Happiness
건둥건둥하다,Happiness
건둥반둥하다,Sadness
건드려 귀찮게,Sadness
건들거리고,Sadness
건들거리고 벙글거리며,Sadness
건들건들,Sadness
건들건들 지내다,Sadness
건들대다,Sadness
건망증이,Sadness
건망증이 심하며,Sadness
건방져,Anger
건방지게,Anger
건방지게 행동하다,Anger
건방지네,Anger
건방지다,Anger
건방지며,Anger
건방진,Sadness
건방짐,Anger
건성 기침,Sadness
건성으로,Sadness
건성으로 묻다,Sadness
건장하다,Love
건장한,Love
건장한 모양,Love
건전하고,Love
건전하고 착실한,Love
건전하지 못하고,Sadness
건전하지 못한,Sadness
건전하지 아니하게,Sadness
건전한,Love
건전함,Love
건정히,Love
걷지 못하고,Sadness
걷지 못하는,Sadness
걸리거나,Sadness
걸리거나 막히는,Sadness
걸리다,Sadness
걸리적대다,Sadness
걸핏하면,Sadness
검사에 불합격한,Anger
검소하다,Happiness
검소한,Love
검은 티끌이라는,Sadness
검질기게 구는,Sadness
검질기게 굴다,Sadness
겁,Sadness
겁나게,Sadness
겁나게 하기,Sadness
겁나다,Sadness
겁내다,Sadness
겁에,Sadness
겁에 지리다,Anger
겁에 질려,Anger
겁에 질려서,Anger
겁에 질리거나,Anger
겁을,Sadness
겁을 내거나,Sadness
겁을 내다,Sadness
겁을 먹거나,Sadness
겁을 먹어,Sadness
겁을 주며,Sadness
겁이 나거나,Sadness
겁이 나서,Sadness
겁이 많고,Anger
겁이 많다,Anger
겁이 많아,Anger
겁이 많은,Anger
겁이 많음,Anger
겁자기 부서지거나,Sadness
겁쟁이,Anger
것같이 아프다,Sadness
것보다 낫다,Love
것을 샘하여,Sadness
것을 짓밟다,Sadness
것이 거북하거나,Sadness
것이 깨끗하고,Love
것이 해결되어,Love
겉만 그럴듯한,Sadness
겉면이 매끄럽고,Happiness
겉모양의 아름다움과,Happiness
겉치레,Sadness
게걸스럽게,Anger
게걸스럽게 돌아다니는,Anger
게걸스럽게 돌아다니다,Anger
게우는,Sadness
게우는 소리,Sadness
게우는 소리가,Sadness
게울,Sadness
게울 듯이,Sadness
게워,Sadness
게워 내는,Sadness
게워 내다,Sadness
게으르거나,Sadness
게으르게,Sadness
게으르게 놀며,Sadness
게으르게 행동하는,Sadness
게으르게 행동하다,Sadness
게으르고,Sadness
게으르다,Sadness
게으름,Sadness
게으름을,Sadness
게으름을 피우며,Sadness
게으름이,Sadness
게으름이 나는,Sadness
게으름이나,Sadness
게으름이나 싫증,Sadness
게을러빠지다,Anger
게을러터지다,Anger
게을리하지 않고,Love
겐트위한,Sadness
겨를이 없음,Sadness
겨우 빠듯하게,Sadness
겨우겨우,Sadness
겨우겨우 살기를,Sadness
겨운,Sadness
겨운 일에,Sadness
격노,Anger
격노하다,Anger
격동시키다,Neutral
격려되다,Happiness
격려하다,Happiness
격분,Anger
격분하다,Anger
격식에 맞아,Happiness
격식을 갖추지 않고,Sadness
격에 어울리지,Sadness
격하게,Anger
격하게 되다,Anger
격하다,Neutral
격하시키다,Anger
격한,Anger
격한 감정이,Anger
격한 기운이,Anger
격한 느낌이,Anger
겪거나 불쌍한,Sadness
견고하다,Happiness
견디기 어렵게,Anger
견디기가 어려울,Anger
견디어 내다,Happiness
견딜 수 없는,Anger
견줄 수 없을 정도로,Happiness
결기가,Sadness
결기가 나다,Sadness
결단성 없다,Sadness
결단성 없이,Sadness
결단성이 없고,Sadness
결단성이 없다,Sadness
결단을 못 내리는,Sadness
결딴날,Anger
결딴날 듯이,Anger
결막염,Sadness
결석,Anger
결석하다,Anger
결심 없이,Sadness
결점,Sadness
결점이 없도록,Happiness
결정을 못하고,Sadness
결정하지 못하고,Sadness
결정하지 못하는,Sadness
결정하지 못하다,Sadness
결정하지 못함,Sadness
결핍,Anger
결핍증,Anger
결함,Sadness
결함을,Sadness
결함을 드러내어,Sadness
결함을 들추어,Sadness
결함을 풍자하였다,Sadness
결함이 없이,Love
결함이 있다,Sadness
결함이나,Sadness
결함이나 잘못,Sadness
결함이나 잘못에,Sadness
결핵,Sadness
겸손하게,Happiness
겸손하게 이르는,Happiness
겸손하고,Happiness
겸손하고 예의,Love
겸손하고 예의 바른,Love
겸손하다,Love
겸손한,Love
겸연쩍고,Sadness
겸연쩍다,Sadness
겹거나,Anger
겹게,Anger
겹게 여기다,Anger
경건하다,Love
경건한,Happiness
경련,Sadness
경련을 일으키다,Anger
경련이,Sadness
경련이 일어나,Anger
경망스러우며,Sadness
경망스러우며 추잡하다,Anger
경망스러운,Sadness
경망스러운 여자를,Sadness
경망스럽게,Sadness
경망스럽게 까부는,Sadness
경망스럽게 내어,Sadness
경망스럽게 내흔들거나,Anger
경망스럽게 놀려,Sadness
경망스럽게 덤비며,Sadness
경망스럽게 떠벌리는,Sadness
경망스럽게 이리저리,Sadness
경망스럽게 추켰다,Sadness
경망스럽게 행동하는,Sadness
경망스럽게 행동하다,Sadness
경망스럽고,Sadness
경망스럽고 가볍게,Sadness
경망스럽고 방정맞은,Sadness
경망스럽다,Anger
경망하게,Sadness
경망하게 행동하는,Sadness
경망하게 행동하다,Sadness
경망한,Sadness
경망한 짓,Sadness
경멸,Anger
경멸하다,Anger
경멸히,Anger
경멸히 여겨,Anger
경박스럽게,Sadness
경박스럽게 함부로,Anger
경박하게,Sadness
경박하다,Sadness
경박한,Sadness
경박한 행동을,Sadness
경사스러운,Love
경사스러운 일을,Love
경상,Anger
경솔하게,Sadness
경솔하게 까부는,Sadness
경솔하게 말하며,Sadness
경솔하게 행동하는,Sadness
경솔하게 행동하다,Sadness
경솔하게 행동하여,Sadness
경솔하고,Sadness
경솔하고 방정맞게,Anger
경솔하다,Sadness
경솔한,Sadness
경솔한 모양,Sadness
경이로운,Love
경이롭다,Love
경치 좋은,Love
경치가 뛰어나거나,Love
경치가 맑고,Love
경치가 아름다움을,Love
경치가 아름답다,Love
경치가 좋거나,Love
경치도 좋음,Love
경치를 즐기는,Love
경쾌하다,Love
경험이 많고,Happiness
경험이 적거나,Sadness
경황이 없어,Sadness
계급을 올림,Love
계급이 오름,Love
계속 게워,Sadness
계속 공허하다,Sadness
계속 공허한,Sadness
계속 까부는,Sadness
계속 까불다,Sadness
계속 놀리다,Sadness
계속 다투다,Sadness
계속 떠들어,Sadness
계속 밉살스럽게,Sadness
계속 부정하다,Anger
계속 불평을,Anger
계속 서운하다,Sadness
계속 서운한,Sadness
계속 성을,Sadness
계속 아첨하는,Sadness
계속 어지럽고,Sadness
계속 쩔쩔매거나,Sadness
계속 토할,Sadness
계속 헤프게,Sadness
계속 흥겹게,Love
고결 함,Love
고결한 풍채를,Love
고귀한,Love
고귀한 사람,Love
고급,Love
고급스럽다,Love
고급지다,Love
고까워하는,Sadness
고까워하는 데가,Sadness
고까워하는 태도가,Sadness
고까워하는 태도를,Sadness
고난,Anger
고단하다,Anger
고단하여,Anger
고달프다,Anger
고도화,Anger
고도화되다,Anger
고되다,Anger
고르고,Love
고르고 반듯하게,Love
고르고 야무지다,Love
고르다,Love
고르지 못하거나,Sadness
고르지 못한,Sadness
고르지 아니하게,Sadness
고르지 아니하고,Sadness
고르지 않고,Sadness
고름,Sadness
고름이 나오는,Sadness
고름이 생기는,Sadness
고름이 생기다,Sadness
고름집,Sadness
고리게,Sadness
고마운,Love
고마운 마음,Love
고마운 마음이,Love
고마움,Love
고마움을,Love
고마움을 깊이,Love
고마움을 나타내거나,Love
고마움을 나타내는,Love
고마워하다,Love
고맙게,Love
고맙게 베풀어,Love
고맙게 여기는,Love
고맙게 여기다,Love
고맙게 여김,Love
고맙다,Love
고백,Love
고부라지거나,Neutral
고부라지거나 비틀어지며,Neutral
고분고분하게,Love
고분고분하고,Love
고분고분하고 온순하게,Love
고분고분하고 온순하다,Love
고분고분하다,Love
고분고분하지 못하고,Sadness
고비를,Sadness
고상하고,Happiness
고상하다,Love
고상한,Love
고상한 기질과,Love
고상한 남자,Happiness
고상한 이야기,Happiness
고상한 인품을,Love
고상한 풍채,Love
고생스러운,Anger
고생을,Sadness
고생을 격다,Sadness
고생을 하다,Sadness
고생이나,Sadness
고생하거나,Sadness
고생하거나 두려워하여,Anger
고생하다,Sadness
고성능,Love
고소 공포증,Sadness
고약하게,Anger
고약하다,Anger
고약함,Anger
고약해서,Anger
고열,Sadness
고열 따위로,Sadness
고요하게,Happiness
고요하게 함,Happiness
고요하고,Happiness
고요하고 아름다운,Love
고요함,Happiness
고요해짐,Happiness
고운,Love
고운 빛깔,Love
고움,Love
고자질함,Sadness
고작,Sadness
고장나다,Sadness
고지혈증,Sadness
고질병,Sadness
고집,Sadness
고집스레,Sadness
고집스레 싫다고,Sadness
고집을,Sadness
고집을 부리거나,Sadness
고집을 부리는,Sadness
고집을 부림,Sadness
고집이,Sadness
고집이 세어,Sadness
고집이 센,Sadness
고집이 있는,Sadness
고쳐,Happiness
고쳐 세우다,Happiness
고쳐 지음,Happiness
고쳐 짓다,Happiness
고충,Anger
고치기 어려운,Sadness
고치긱 어려운,Sadness
고치다,Happiness
고치어 바로잡다,Love
고타분히,Sadness
고통,Anger
고통스러운,Anger
고통스러운 상태,Anger
고통스러운 일이나,Anger
고통스럽거나,Anger
고통스럽게,Anger
고통스럽게 일함,Anger
고통스럽다,Anger
고통을,Anger
고통을 당하여,Anger
고통을 이른다,Anger
고통을 주다,Anger
고통을 주며,Anger
고통이,Anger
고통이 지속되는,Anger
고통이나,Anger
고통이나 곤란에,Anger
고통이나 시달림으로,Anger
고통이나 어려운,Anger
고통이라는,Anger
고통이라는 뜻으로,Anger
고품질,Love
고한,Anger
고함,Sadness
고함을 지르면서,Sadness
고혈압,Sadness
곤궁하고,Anger
곤궁하다,Anger
곤궁하여,Sadness
곤궁함,Sadness
곤란에,Sadness
곤란에 대하여,Sadness
곤란이나,Sadness
곤란이나 시련이,Sadness
곤란하게,Sadness
곤란하게 되다,Sadness
곤란하다,Sadness
곤란하여 지는,Sadness
곤란한,Sadness
곤란한 병,Sadness
곤란한 사정을,Sadness
곤란한 상태를,Sadness
곤장으로 치던,Sadness
곤혹스러운,Anger
곤혹스럽다,Anger
곧게,Happiness
곧게 되다,Happiness
곧고,Happiness
곧고 올바름,Happiness
곧다,Happiness
곧바르지 아니하고,Sadness
곧잘 흥분하는,Sadness
곧장 나아가다,Happiness
곧지 못하고,Sadness
골골 앓아서,Anger
골나다,Anger
골똘하게,Neutral
골리는,Anger
골리는 짓,Anger
골이 나게,Anger
곪느라고,Sadness
곪느라고 쑤시다,Sadness
곯려 주다,Sadness
곯리거나,Sadness
곯아서,Sadness
곯아서 물크러질,Sadness
곯은,Sadness
곯은 듯하다,Sadness
곰살갑지 못하며,Sadness
곰살궂지 못하고,Sadness
곰팡내,Sadness
곰팡이,Anger
곱거나,Love
곱게,Love
곱게 꾸며,Love
곱게 피어나는,Love
곱게 피어나다,Love
곱고,Love
곱고 바르며,Love
곱고 보드라운,Love
곱고 보드랍다,Love
곱고 아름답다,Love
곱다,Love
곱살스러우면서도,Love
곱살스러우면서도 트인,Love
곱살스럽게,Love
곱살스레,Love
곱실대다,Sadness
곱절 용감하다,Love
곱지 아니하다,Sadness
곱지 않고,Sadness
곳에서 평안히,Happiness
공갈,Sadness
공개적으로 비난하다,Anger
공격받다,Anger
공격하다,Neutral
공경의,Love
공경의 예를,Love
공경하는,Love
공경하는 마음으로,Love
공경하다,Love
공경하며,Love
공경하여,Love
공경하여 모시다,Love
공경할,Love
공경할 만하다,Love
공공연히 불법적으로,Sadness
공교롭고,Sadness
공교롭고 이상하다,Sadness
공기가 상쾌하다,Love
공덕으로,Love
공덕을,Love
공덕을 칭송하는,Love
공덕의 힘,Love
공덕이 있는,Happiness
공로에,Happiness
공로와,Happiness
공로와 업적,Happiness
공범자에,Sadness
공손하게,Love
공손하다,Happiness
공손하지 아니하고,Sadness
공손함을,Love
공손함을 더하여,Love
공손히,Love
공손히 진찰하다,Love
공연한,Sadness
공연한 짓을,Sadness
공연히,Sadness
공연히 놀며,Sadness
공연히 미워하고,Anger
공익을,Love
공익을 목적으로,Love
공적의,Neutral
공적이 많은,Love
공정하다,Love
공정하여,Love
공정한,Happiness
공정함,Love
공평하다,Happiness
공평하여,Happiness
공평하여 어느,Happiness
공평함,Happiness
공포,Anger
공포나,Sadness
공포나 긴장으로,Anger
공포증,Anger
공허하다,Sadness
공허한,Sadness
공허한 느낌,Sadness
공허한 느낌이,Sadness
공황상태,Sadness
공황장애,Sadness
과거에 급제하여,Love
과격하다,Sadness
과격한,Sadness
과금,Sadness
과대망상에,Sadness
